left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
DSS_tbl_score_severity_z,DSS_tbl_IR_severity_z,360,0.706100,0.207845,0.706100,0,12.423820,1.011019
VOCD_D_optimum_average_severity_z,pronoun_errors_per_word_severity_z,360,0.705959,0.028747,0.705959,0,14.800343,0.962229
pronoun_errors_per_word_severity_z,severity_lexical,360,0.705959,0.028747,0.705959,0,14.800343,0.962229
DSS_tbl_PP_severity_z,determiner_errors_per_word_severity_z,360,0.705161,0.027164,0.705161,0,59.929739,1.289196
DSS_tbl_PP_severity_z,severity_core_composite,360,0.704451,0.386175,0.704451,0,9.040182,0.964272
Word_Errors_per_utt_severity_z,bare_marking_errors_per_word_severity_z,360,0.698693,0.677148,0.698693,0,30.085959,1.193859
DSS_tbl_NG_severity_z,severity_core_composite,360,0.697556,0.384396,0.697556,0,9.976716,0.965891
DSS_tbl_IR_severity_z,severity_domain_composite,360,0.697336,0.193435,0.697336,0,6.641922,0.808110
DSS_tbl_MV_severity_z,rule_generalization_errors_per_word_severity_z,360,0.697274,0.039618,0.697274,0,24.516344,1.227706
DSS_tbl_IR_severity_z,severity_structural,360,0.695978,0.177584,0.695978,0,9.171145,0.963439
IPSyn_Total_severity_z,DSS_tbl_CNJ_severity_z,351,0.692920,0.432840,0.692920,0,11.491137,0.919674
bare_marking_errors_per_word_severity_z,severity_morphosyntax_burden,360,0.691145,0.714794,0.691145,0,26.468350,1.205867
DSS_tbl_CNJ_severity_z,pronoun_errors_per_word_severity_z,360,0.691026,0.094048,0.691026,0,15.193025,0.944815
DSS_tbl_score_severity_z,rule_generalization_errors_per_word_severity_z,360,0.690164,0.159927,0.690164,0,9.433536,1.151428
MLU_Morphemes_severity_z,Word_Errors_per_utt_severity_z,360,0.685606,0.203273,0.685606,0,22.748226,1.391399
rule_generalization_errors_per_word_severity_z,severity_structural,360,0.684513,0.123839,0.684513,0,6.180861,1.061242
DSS_tbl_CNJ_severity_z,Word_Errors_per_utt_severity_z,360,0.678739,0.085892,0.678739,0,19.039758,1.408758
DSS_tbl_NG_severity_z,severity_morphosyntax_burden,360,0.673906,0.137361,0.673906,0,17.417132,1.112758
