File_ID,DSS_tbl_source,DSS_tbl_relpath,DSS_tbl_transcript,DSS_tbl_transcript_relpath,DSS_tbl_command,DSS_tbl_score,DSS_tbl_score_is_na,DSS_tbl_warning_50,DSS_tbl_CNJ,DSS_tbl_IP,DSS_tbl_IR,DSS_tbl_MV,DSS_tbl_NG,DSS_tbl_PP,DSS_tbl_S,DSS_tbl_SV,DSS_tbl_TOT,DSS_tbl_WHQ
721,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/721.tbl.cex,phase2/measures/dss/SLI/A/721.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/721.cha,data/annotated/ENNI_batchalign/SLI/A/721.cha,dss +t*CHI +deng.cut +leng,8.84,0,0,131,39,0,127,8,53,45,39,442,0
725,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/725.tbl.cex,phase2/measures/dss/SLI/A/725.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/725.cha,data/annotated/ENNI_batchalign/SLI/A/725.cha,dss +t*CHI +deng.cut +leng,11.44,0,0,173,41,1,126,8,120,49,50,572,4
729,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/729.tbl.cex,phase2/measures/dss/SLI/A/729.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/729.cha,data/annotated/ENNI_batchalign/SLI/A/729.cha,dss +t*CHI +deng.cut +leng,6.82,0,0,30,26,2,107,17,61,42,46,341,10
733,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/733.tbl.cex,phase2/measures/dss/SLI/A/733.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/733.cha,data/annotated/ENNI_batchalign/SLI/A/733.cha,dss +t*CHI +deng.cut +leng,7.58,0,0,143,50,2,108,0,16,39,19,379,2
777,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/777.tbl.cex,phase2/measures/dss/SLI/A/777.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/777.cha,data/annotated/ENNI_batchalign/SLI/A/777.cha,dss +t*CHI +deng.cut +leng,6.94,0,0,37,26,0,133,22,42,45,26,347,16
817,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/817.tbl.cex,phase2/measures/dss/SLI/A/817.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/817.cha,data/annotated/ENNI_batchalign/SLI/A/817.cha,dss +t*CHI +deng.cut +leng,6.94,0,0,23,49,1,109,14,87,43,13,347,8
821,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/821.tbl.cex,phase2/measures/dss/SLI/A/821.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/821.cha,data/annotated/ENNI_batchalign/SLI/A/821.cha,dss +t*CHI +deng.cut +leng,8.80,0,0,149,37,7,120,0,52,45,23,440,7
825,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/825.tbl.cex,phase2/measures/dss/SLI/A/825.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/825.cha,data/annotated/ENNI_batchalign/SLI/A/825.cha,dss +t*CHI +deng.cut +leng,9.00,0,0,25,31,52,143,32,80,48,24,450,15
829,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/829.tbl.cex,phase2/measures/dss/SLI/A/829.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/829.cha,data/annotated/ENNI_batchalign/SLI/A/829.cha,dss +t*CHI +deng.cut +leng,6.76,0,0,102,22,15,79,4,81,27,8,338,0
871,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/871.tbl.cex,phase2/measures/dss/SLI/A/871.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/871.cha,data/annotated/ENNI_batchalign/SLI/A/871.cha,dss +t*CHI +deng.cut +leng,8.60,0,0,44,88,0,132,7,91,46,22,430,0
